Event 2,,,,,,,,,,,,,,,Length Strata,,,Calculated or from Event 1 ,,,,,Length Strata,,
Event,Unique,Crew,Data Page,Date,Time,Tag Number,Fork Length (mm),Recap,Weight (lbs),Area,Area Description,Lat (WGS84),Long (WGS84),Comments,All,Small,Big,Fork Length Corrected (mm),E1 Tag Area,E1 Lat (WGS84),E1 Long (WGS84),Growth (mm),All,Small,Big
2,2160,Roti Groot,1,11/24/2023,,,460,0,,D,,62.855493,-145.60599,N,yes,,yes,454,,,,,yes,,yes
2,2161,Roti Groot,1,11/24/2023,,,365,0,,D,,62.855493,-145.60599,N,yes,yes,,360,,,,,yes,yes,
2,2162,Roti Groot,1,11/24/2023,,,343,0,,D,,62.855493,-145.60599,N,,,,338,,,,,,,
2,2163,Roti Groot,1,11/24/2023,,,350,0,,D,,62.855493,-145.60599,N,yes,yes,,345,,,,,yes,yes,
2,2164,Roti Groot,1,11/24/2023,,,370,0,,D,,62.855493,-145.60599,N,yes,yes,,365,,,,,yes,yes,
2,2165,Roti Groot,1,11/24/2023,,,386,0,,D,,62.855493,-145.60599,N,yes,yes,,381,,,,,yes,yes,
2,2166,Roti Groot,1,11/24/2023,,,411,0,,D,,62.855493,-145.60599,N,yes,,yes,406,,,,,yes,,yes
2,2167,Roti Groot,1,11/24/2023,,,335,0,,D,,62.855493,-145.60599,N,,,,330,,,,,,,
2,2168,Roti Groot,1,11/24/2023,,,386,0,,D,,62.855493,-145.60599,N,yes,yes,,381,,,,,yes,yes,
2,2169,Roti Groot,1,11/24/2023,,,357,0,,D,,62.855493,-145.60599,N,yes,yes,,352,,,,,yes,yes,
2,2170,Roti Groot,1,11/24/2023,,,364,0,,D,,62.855493,-145.60599,N,yes,yes,,359,,,,,yes,yes,
2,2171,Roti Groot,1,11/24/2023,,,359,0,,D,,62.855493,-145.60599,N,yes,yes,,354,,,,,yes,yes,
2,2172,Roti Groot,1,11/24/2023,,,339,0,,D,,62.855493,-145.60599,N,,,,334,,,,,,,
2,2173,Roti Groot,1,11/24/2023,,,382,0,,D,,62.855493,-145.60599,N,yes,yes,,377,,,,,yes,yes,
2,2174,Roti Groot,1,11/24/2023,,,348,0,,D,,62.855493,-145.60599,N,yes,yes,,343,,,,,,,
2,2175,Roti Groot,1,11/24/2023,,,380,0,,D,,62.855493,-145.60599,N,yes,yes,,375,,,,,yes,yes,
2,2176,Roti Groot,1,11/24/2023,,,411,0,,D,,62.855493,-145.60599,N,yes,,yes,406,,,,,yes,,yes
2,2177,Roti Groot,1,11/24/2023,,,404,0,,D,,62.855493,-145.60599,N,yes,,yes,399,,,,,yes,yes,
2,2178,Roti Groot,1,11/24/2023,,,387,0,,D,,62.855493,-145.60599,N,yes,yes,,382,,,,,yes,yes,
2,2179,Roti Groot,1,11/24/2023,,,378,0,,D,,62.855493,-145.60599,N,yes,yes,,373,,,,,yes,yes,
2,2180,Roti Groot,1,11/24/2023,,,383,0,,D,,62.855493,-145.60599,N,yes,yes,,378,,,,,yes,yes,
2,2181,Roti Groot,1,11/24/2023,,,369,0,,D,,62.855493,-145.60599,N,yes,yes,,364,,,,,yes,yes,
2,2182,Roti Groot,1,11/24/2023,,,381,0,,D,,62.855493,-145.60599,N,yes,yes,,376,,,,,yes,yes,
2,2183,Roti Groot,1,11/24/2023,,,372,0,,D,,62.855493,-145.60599,N,yes,yes,,367,,,,,yes,yes,
2,2184,Roti Groot,1,11/24/2023,,,371,0,,D,,62.855493,-145.60599,N,yes,yes,,366,,,,,yes,yes,
2,2185,Roti Groot,1,11/24/2023,,,363,0,,D,,62.855493,-145.60599,N,yes,yes,,358,,,,,yes,yes,
2,2186,Roti Groot,1,11/24/2023,,,393,0,,D,,62.855493,-145.60599,N,yes,yes,,388,,,,,yes,yes,
2,2187,Roti Groot,1,11/24/2023,,,414,0,,D,,62.855493,-145.60599,N,yes,,yes,409,,,,,yes,,yes
2,2188,Roti Groot,1,11/24/2023,,,386,0,,D,,62.855493,-145.60599,N,yes,yes,,381,,,,,yes,yes,
2,2189,Roti Groot,1,11/24/2023,,,444,0,,D,,62.855493,-145.60599,N,yes,,yes,438,,,,,yes,,yes
2,2190,Roti Groot,1,11/24/2023,,,379,0,,D,,62.855493,-145.60599,N,yes,yes,,374,,,,,yes,yes,
2,2191,Roti Groot,1,11/24/2023,,,405,0,,D,,62.855493,-145.60599,N,yes,,yes,400,,,,,yes,,
2,2192,Roti Groot,1,11/24/2023,,,378,0,,D,,62.855493,-145.60599,N,yes,yes,,373,,,,,yes,yes,
2,2193,Roti Groot,1,11/24/2023,,,389,0,,D,,62.855493,-145.60599,N,yes,yes,,384,,,,,yes,yes,
2,2194,Roti Groot,1,11/24/2023,,,417,0,,D,,62.855493,-145.60599,N,yes,,yes,412,,,,,yes,,yes
2,2195,Roti Groot,1,11/24/2023,,8238,366,1,,D,,62.855493,-145.60599,N,yes,yes,,362,C,62.88507,-145.53091,4,yes,yes,
2,2196,Roti Groot,1,11/24/2023,,,390,0,,D,,62.855493,-145.60599,N,yes,yes,,385,,,,,yes,yes,
2,2197,Roti Groot,1,11/24/2023,,,388,0,,D,,62.855493,-145.60599,N,yes,yes,,383,,,,,yes,yes,
2,2198,Roti Groot,1,11/24/2023,,,411,0,,D,,62.855493,-145.60599,N,yes,,yes,406,,,,,yes,,yes
2,2199,Roti Groot,1,11/24/2023,,,380,0,,D,,62.855493,-145.60599,N,yes,yes,,375,,,,,yes,yes,
2,2200,Roti Groot,1,11/24/2023,,,389,0,,D,,62.855493,-145.60599,N,yes,yes,,384,,,,,yes,yes,
2,2201,Roti Groot,1,11/24/2023,,,396,0,,D,,62.855493,-145.60599,N,yes,yes,,391,,,,,yes,yes,
2,2202,Roti Groot,1,11/24/2023,,,370,0,,D,,62.855493,-145.60599,N,yes,yes,,365,,,,,yes,yes,
2,2203,Roti Groot,1,11/24/2023,,,395,0,,D,,62.855493,-145.60599,N,yes,yes,,390,,,,,yes,yes,
2,2204,Roti Groot,1,11/24/2023,,,371,0,,D,,62.855493,-145.60599,N,yes,yes,,366,,,,,yes,yes,
2,2205,Roti Groot,1,11/24/2023,,,385,0,,D,,62.855493,-145.60599,N,yes,yes,,380,,,,,yes,yes,
2,2206,Roti Groot,1,11/24/2023,,,394,0,,D,,62.855493,-145.60599,N,yes,yes,,389,,,,,yes,yes,
2,2207,Roti Groot,1,11/24/2023,,,404,0,,D,,62.855493,-145.60599,N,yes,,yes,399,,,,,yes,yes,
2,2208,Roti Groot,1,11/24/2023,,,380,0,,D,,62.855493,-145.60599,N,yes,yes,,375,,,,,yes,yes,
2,2209,Roti Groot,1,11/24/2023,,,413,0,,D,,62.855493,-145.60599,N,yes,,yes,408,,,,,yes,,yes
2,2210,Roti Groot,1,11/24/2023,,,371,0,,D,,62.855493,-145.60599,N,yes,yes,,366,,,,,yes,yes,
2,2211,Roti Groot,1,11/24/2023,,,354,0,,D,,62.855493,-145.60599,N,yes,yes,,349,,,,,yes,yes,
2,2212,Roti Groot,1,11/24/2023,,,383,0,,D,,62.855493,-145.60599,N,yes,yes,,378,,,,,yes,yes,
2,2213,Roti Groot,1,11/24/2023,,,406,0,,D,,62.855493,-145.60599,N,yes,,yes,401,,,,,yes,,yes
2,2214,Roti Groot,1,11/24/2023,,,354,0,,D,,62.855493,-145.60599,N,yes,yes,,349,,,,,yes,yes,
2,2215,Roti Groot,1,11/24/2023,,,390,0,,D,,62.855493,-145.60599,N,yes,yes,,385,,,,,yes,yes,
2,2216,Roti Groot,1,11/24/2023,,,355,0,,D,,62.855493,-145.60599,N,yes,yes,,350,,,,,yes,yes,
2,2217,Roti Groot,1,11/24/2023,,,333,0,,D,,62.855493,-145.60599,N,,,,328,,,,,,,
2,2218,Roti Groot,1,11/24/2023,,,357,0,,D,,62.855493,-145.60599,N,yes,yes,,352,,,,,yes,yes,
2,2219,Roti Groot,1,11/24/2023,,,342,0,,D,,62.855493,-145.60599,N,,,,337,,,,,,,
2,2220,Roti Groot,1,11/24/2023,,,373,0,,D,,62.855493,-145.60599,N,yes,yes,,368,,,,,yes,yes,
2,2221,Roti Groot,1,11/24/2023,,,365,0,,D,,62.855493,-145.60599,N,yes,yes,,360,,,,,yes,yes,
2,2222,Roti Groot,1,11/24/2023,,,391,0,,D,,62.855493,-145.60599,N,yes,yes,,386,,,,,yes,yes,
2,2223,Roti Groot,1,11/24/2023,,,362,0,,D,,62.855493,-145.60599,N,yes,yes,,357,,,,,yes,yes,
2,2224,Roti Groot,1,11/24/2023,,,351,0,,D,,62.855493,-145.60599,N,yes,yes,,346,,,,,yes,yes,
2,2225,Roti Groot,1,11/24/2023,,,347,0,,D,,62.855493,-145.60599,N,yes,yes,,342,,,,,,,
2,2226,Roti Groot,1,11/24/2023,,,374,0,,D,,62.855493,-145.60599,N,yes,yes,,369,,,,,yes,yes,
2,2227,Roti Groot,1,11/24/2023,,,382,0,,D,,62.855493,-145.60599,N,yes,yes,,377,,,,,yes,yes,
2,2228,Roti Groot,1,11/24/2023,,,358,0,,D,,62.855493,-145.60599,N,yes,yes,,353,,,,,yes,yes,
2,2229,Roti Groot,1,11/24/2023,,,389,0,,D,,62.855493,-145.60599,N,yes,yes,,384,,,,,yes,yes,
2,2230,Roti Groot,1,11/24/2023,,,426,0,,D,,62.855493,-145.60599,N,yes,,yes,420,,,,,yes,,yes
2,2231,Roti Groot,1,11/24/2023,,,385,0,,D,,62.855493,-145.60599,N,yes,yes,,380,,,,,yes,yes,
2,2232,Roti Groot,1,11/24/2023,,,369,0,,D,,62.855493,-145.60599,N,yes,yes,,364,,,,,yes,yes,
2,2233,Roti Groot,1,11/24/2023,,,418,0,,D,,62.855493,-145.60599,N,yes,,yes,413,,,,,yes,,yes
2,2234,Roti Groot,1,11/24/2023,,,437,0,,D,,62.855493,-145.60599,N,yes,,yes,431,,,,,yes,,yes
2,2235,Roti Groot,1,11/24/2023,,,419,0,,D,,62.855493,-145.60599,N,yes,,yes,414,,,,,yes,,yes
2,2236,Roti Groot,2,11/24/2023,,,440,0,,D,,62.855493,-145.60599,N,yes,,yes,434,,,,,yes,,yes
2,2237,Roti Groot,2,11/24/2023,,,398,0,,D,,62.855493,-145.60599,N,yes,yes,,393,,,,,yes,yes,
2,2238,Roti Groot,2,11/24/2023,,,393,0,,D,,62.855493,-145.60599,N,yes,yes,,388,,,,,yes,yes,
2,2239,Roti Groot,2,11/24/2023,,,400,0,,D,,62.855493,-145.60599,N,yes,,yes,395,,,,,yes,yes,
2,2240,Roti Groot,2,11/24/2023,,,402,0,,D,,62.855493,-145.60599,N,yes,,yes,397,,,,,yes,yes,
2,2241,Roti Groot,2,11/24/2023,,,384,0,,D,,62.855493,-145.60599,N,yes,yes,,379,,,,,yes,yes,
2,2242,Roti Groot,2,11/24/2023,,,372,0,,D,,62.855493,-145.60599,N,yes,yes,,367,,,,,yes,yes,
2,2243,Roti Groot,2,11/24/2023,,,378,0,,D,,62.855493,-145.60599,N,yes,yes,,373,,,,,yes,yes,
2,2244,Roti Groot,2,11/24/2023,,,364,0,,D,,62.855493,-145.60599,N,yes,yes,,359,,,,,yes,yes,
2,2245,Roti Groot,2,11/24/2023,,,359,0,,D,,62.855493,-145.60599,N,yes,yes,,354,,,,,yes,yes,
2,2246,Roti Groot,2,11/24/2023,,,388,0,,D,,62.855493,-145.60599,N,yes,yes,,383,,,,,yes,yes,
2,2247,Roti Groot,2,11/24/2023,,,418,0,,D,,62.855493,-145.60599,N,yes,,yes,413,,,,,yes,,yes
2,2248,Roti Groot,2,11/24/2023,,,381,0,,D,,62.855493,-145.60599,N,yes,yes,,376,,,,,yes,yes,
2,2249,Roti Groot,2,11/24/2023,,,387,0,,D,,62.855493,-145.60599,N,yes,yes,,382,,,,,yes,yes,
2,2250,Roti Groot,2,11/24/2023,,,415,0,,D,,62.855493,-145.60599,N,yes,,yes,410,,,,,yes,,yes
2,2251,Roti Groot,2,11/24/2023,,,441,0,,D,,62.855493,-145.60599,N,yes,,yes,435,,,,,yes,,yes
2,2252,Roti Groot,2,11/24/2023,,,376,0,,D,,62.855493,-145.60599,N,yes,yes,,371,,,,,yes,yes,
2,2253,Roti Groot,2,11/24/2023,,,371,0,,D,,62.855493,-145.60599,N,yes,yes,,366,,,,,yes,yes,
2,2254,Roti Groot,2,11/24/2023,,8008,414,1,,D,,62.855493,-145.60599,N,yes,,yes,405,D,62.87197,-145.5661,9,yes,,yes
2,2255,Roti Groot,2,11/24/2023,,,376,0,,D,,62.855493,-145.60599,N,yes,yes,,371,,,,,yes,yes,
2,2256,Roti Groot,2,11/24/2023,,,382,0,,D,,62.855493,-145.60599,N,yes,yes,,377,,,,,yes,yes,
2,2257,Roti Groot,2,11/24/2023,,,348,0,,D,,62.855493,-145.60599,N,yes,yes,,343,,,,,,,
2,2258,Roti Groot,2,11/24/2023,,,406,0,,D,,62.855493,-145.60599,N,yes,,yes,401,,,,,yes,,yes
2,2259,Roti Groot,2,11/24/2023,,,426,0,,D,,62.855493,-145.60599,N,yes,,yes,420,,,,,yes,,yes
2,2260,Roti Groot,2,11/24/2023,,,373,0,,D,,62.855493,-145.60599,N,yes,yes,,368,,,,,yes,yes,
2,2261,Roti Groot,2,11/24/2023,,,404,0,,D,,62.855493,-145.60599,N,yes,,yes,399,,,,,yes,yes,
2,2262,Roti Groot,2,11/24/2023,,,421,0,,D,,62.855493,-145.60599,N,yes,,yes,416,,,,,yes,,yes
2,2263,Roti Groot,2,11/24/2023,,,378,0,,D,,62.855493,-145.60599,N,yes,yes,,373,,,,,yes,yes,
2,2264,Roti Groot,2,11/24/2023,,,399,0,,D,,62.855493,-145.60599,N,yes,yes,,394,,,,,yes,yes,
2,2265,Roti Groot,2,11/24/2023,,,398,0,,D,,62.855493,-145.60599,N,yes,yes,,393,,,,,yes,yes,
2,2266,Roti Groot,2,11/24/2023,,,453,0,,D,,62.855493,-145.60599,N,yes,,yes,447,,,,,yes,,yes
2,2267,Roti Groot,2,11/24/2023,,,394,0,,D,,62.855493,-145.60599,N,yes,yes,,389,,,,,yes,yes,
2,2268,Roti Groot,2,11/24/2023,,,390,0,,D,,62.855493,-145.60599,N,yes,yes,,385,,,,,yes,yes,
2,2269,Roti Groot,2,11/24/2023,,,361,0,,D,,62.855493,-145.60599,N,yes,yes,,356,,,,,yes,yes,
2,2270,Roti Groot,2,11/24/2023,,,398,0,,D,,62.855493,-145.60599,N,yes,yes,,393,,,,,yes,yes,
2,2271,Roti Groot,2,11/24/2023,,,383,0,,D,,62.855493,-145.60599,N,yes,yes,,378,,,,,yes,yes,
2,2272,Roti Groot,2,11/24/2023,,,390,0,,D,,62.855493,-145.60599,N,yes,yes,,385,,,,,yes,yes,
2,2273,Roti Groot,2,11/24/2023,,,400,0,,D,,62.855493,-145.60599,N,yes,,yes,395,,,,,yes,yes,
2,2274,Roti Groot,2,11/24/2023,,,367,0,,D,,62.855493,-145.60599,N,yes,yes,,362,,,,,yes,yes,
2,2275,Roti Groot,2,11/24/2023,,,376,0,,D,,62.855493,-145.60599,N,yes,yes,,371,,,,,yes,yes,
2,2276,Roti Groot,2,11/24/2023,,,385,0,,D,,62.855493,-145.60599,N,yes,yes,,380,,,,,yes,yes,
2,2277,Roti Groot,2,11/24/2023,,,369,0,,D,,62.855493,-145.60599,N,yes,yes,,364,,,,,yes,yes,
2,2278,Roti Groot,2,11/24/2023,,,383,0,,D,,62.855493,-145.60599,N,yes,yes,,378,,,,,yes,yes,
2,2279,Roti Groot,2,11/24/2023,,,394,0,,D,,62.855493,-145.60599,N,yes,yes,,389,,,,,yes,yes,
2,2280,Roti Groot,2,11/24/2023,,,386,0,,D,,62.855493,-145.60599,N,yes,yes,,381,,,,,yes,yes,
2,2281,Roti Groot,2,11/24/2023,,,377,0,,D,,62.855493,-145.60599,N,yes,yes,,372,,,,,yes,yes,
2,2282,Roti Groot,2,11/24/2023,,,415,0,,D,,62.855493,-145.60599,N,yes,,yes,410,,,,,yes,,yes
2,2283,Roti Groot,2,11/24/2023,,,371,0,,D,,62.855493,-145.60599,N,yes,yes,,366,,,,,yes,yes,
2,2284,Roti Groot,2,11/24/2023,,,377,0,,D,,62.855493,-145.60599,N,yes,yes,,372,,,,,yes,yes,
2,2285,Roti Groot,2,11/24/2023,,,363,0,,D,,62.855493,-145.60599,N,yes,yes,,358,,,,,yes,yes,
2,2286,Roti Groot,2,11/24/2023,,,359,0,,D,,62.855493,-145.60599,N,yes,yes,,354,,,,,yes,yes,
2,2287,Roti Groot,2,11/24/2023,,,374,0,,D,,62.855493,-145.60599,N,yes,yes,,369,,,,,yes,yes,
2,2288,Roti Groot,2,11/24/2023,,,370,0,,D,,62.855493,-145.60599,N,yes,yes,,365,,,,,yes,yes,
2,2289,Roti Groot,2,11/24/2023,,,385,0,,D,,62.855493,-145.60599,N,yes,yes,,380,,,,,yes,yes,
2,2290,Roti Groot,2,11/24/2023,,,354,0,,D,,62.855493,-145.60599,N,yes,yes,,349,,,,,yes,yes,
2,2291,Roti Groot,2,11/24/2023,,,358,0,,D,,62.855493,-145.60599,N,yes,yes,,353,,,,,yes,yes,
2,2292,Roti Groot,2,11/24/2023,,,346,0,,D,,62.855493,-145.60599,N,yes,yes,,341,,,,,,,
2,2293,Roti Groot,2,11/24/2023,,,344,0,,D,,62.855493,-145.60599,N,,,,339,,,,,,,
2,2294,Roti Groot,2,11/24/2023,,,390,0,,D,,62.855493,-145.60599,N,yes,yes,,385,,,,,yes,yes,
2,2295,Roti Groot,2,11/24/2023,,,388,0,,D,,62.855493,-145.60599,N,yes,yes,,383,,,,,yes,yes,
2,2296,Roti Groot,2,11/24/2023,,,377,0,,D,,62.855493,-145.60599,N,yes,yes,,372,,,,,yes,yes,
2,2297,Roti Groot,2,11/24/2023,,,343,0,,D,,62.855493,-145.60599,N,,,,338,,,,,,,
2,2298,Roti Groot,2,11/24/2023,,,391,0,,D,,62.855493,-145.60599,N,yes,yes,,386,,,,,yes,yes,
2,2299,Roti Groot,2,11/24/2023,,,394,0,,D,,62.855493,-145.60599,N,yes,yes,,389,,,,,yes,yes,
2,2300,Roti Groot,2,11/24/2023,,,377,0,,D,,62.855493,-145.60599,N,yes,yes,,372,,,,,yes,yes,
2,2301,Roti Groot,2,11/24/2023,,,346,0,,D,,62.855493,-145.60599,N,yes,yes,,341,,,,,,,
2,2302,Roti Groot,2,11/24/2023,,,338,0,,D,,62.855493,-145.60599,N,,,,333,,,,,,,
2,2303,Roti Groot,2,11/24/2023,,,370,0,,D,,62.855493,-145.60599,N,yes,yes,,365,,,,,yes,yes,
2,2304,Roti Groot,2,11/24/2023,,,354,0,,D,,62.855493,-145.60599,N,yes,yes,,349,,,,,yes,yes,
2,2305,Roti Groot,2,11/24/2023,,,373,0,,D,,62.855493,-145.60599,N,yes,yes,,368,,,,,yes,yes,
2,2306,Roti Groot,2,11/24/2023,,,388,0,,D,,62.855493,-145.60599,N,yes,yes,,383,,,,,yes,yes,
2,2307,Roti Groot,2,11/24/2023,,,381,0,,D,,62.855493,-145.60599,N,yes,yes,,376,,,,,yes,yes,
2,2308,Roti Groot,2,11/24/2023,,,413,0,,D,,62.855493,-145.60599,N,yes,,yes,408,,,,,yes,,yes
